"","yieldRapeseed","pollination"
"1315759",1.3400000333786,79.095824321455
"1315760",1.3400000333786,82.1356961284425
"1315761",1.3400000333786,82.5555455915842
"1315762",1.3400000333786,84.962269271342
"1315766",1.3400000333786,82.9853219467934
"1315777",1.3400000333786,88.5186761617219
"1315779",1.3400000333786,86.191182328093
"1320062",1.3400000333786,89.2829769637989
"1320063",1.3400000333786,89.2743356845408
"1320064",1.3400000333786,89.9391408207069
"1320066",1.3400000333786,87.8937474929489
"1320067",1.3400000333786,87.1557714173388
"1320068",1.3400000333786,85.7505883499433
"1320069",1.3400000333786,86.2738683069922
"1320070",1.3400000333786,84.8754022890988
"1320071",1.3400000333786,83.8737238130402
"1320072",1.3400000333786,82.0106883818145
"1320076",1.3400000333786,83.8970959321003
"1320077",1.3400000333786,85.2660852892227
"1320078",1.3400000333786,75.649686988704
"1320084",1.3400000333786,81.4106844210003
"1320090",1.3400000333786,79.2545634015356
"1324381",1.3400000333786,86.4478416277563
"1324382",1.3400000333786,83.0147549537987
"1324383",1.3400000333786,86.6555749668516
"1324384",1.3400000333786,86.8837326248707
"1324386",1.3400000333786,87.3245431522389
"1324387",1.3400000333786,82.9531244401097
"1324388",1.3400000333786,82.179811648357
"1324389",1.3400000333786,84.7349576380448
"1324390",1.3400000333786,85.795997838837
"1324397",1.3400000333786,82.9950897807682
"1324398",1.3400000333786,83.2282395487967
"1324399",1.3400000333786,87.8299551410063
"1324400",1.3400000333786,87.0073721517391
"1324401",1.3400000333786,84.0282621192095
"1324414",1.3400000333786,82.8168837379721
"1328701",1.3400000333786,82.0839671990702
"1328702",1.3400000333786,78.9042027385248
"1328703",1.3400000333786,81.2169777832779
"1328704",1.3400000333786,78.7767493906928
"1328706",1.3400000333786,81.194753137941
"1328709",1.3400000333786,78.6318799274921
"1328710",1.3400000333786,76.7637047866432
"1328711",1.3400000333786,80.0834238153815
"1328712",1.3400000333786,79.8860486530348
"1328715",1.3400000333786,81.9935087089241
"1328716",1.3400000333786,83.7129016609912
"1328717",1.3400000333786,82.6997964900535
"1328718",1.3400000333786,84.0453779264823
"1328719",1.3400000333786,85.9171697368305
"1328732",1.3400000333786,78.1520546901354
"1333019",1.3400000333786,86.3146708588815
"1333020",1.3400000333786,85.548349161797
"1333021",1.3400000333786,81.4861379594745
"1333025",1.3400000333786,81.2858186865752
"1333028",1.3400000333786,79.9462377490416
"1333029",1.3400000333786,82.0659596312851
"1333030",1.3400000333786,78.6581061333083
"1333031",1.3400000333786,79.2904626475563
"1333032",1.3400000333786,70.5609245923117
"1333033",1.3400000333786,73.9144372849905
"1333036",1.3400000333786,86.9335816051887
"1333037",1.3400000333786,82.6627529790586
"1333040",1.3400000333786,80.1405389085864
"1333043",1.3400000333786,82.3437582217872
